canid;source_type;subtype;data_num;name;min;max;pre_min;pre_max;pos_heigth;pos_width
818.0;1.0;1.0;22.0;Кроншт. ВОГ;15.0;40.0;20.0;30.0;464;485
818.0;1.0;1.0;23.0;Т5Р;15.0;40.0;20.0;30.0;463;476
818.0;1.0;1.0;24.0;АФС-S_Б51;15.0;40.0;20.0;30.0;463;455
818.0;1.0;1.0;25.0;Т14Р;15.0;40.0;20.0;30.0;486;449
818.0;1.0;1.0;26.0;Т15Р;15.0;40.0;20.0;30.0;462;553
818.0;1.0;1.0;27.0;Т16Р;15.0;40.0;20.0;30.0;332;392
818.0;1.0;1.0;28.0;Т9Р;15.0;40.0;20.0;30.0;412;404
818.0;1.0;1.0;29.0;Т10Р;15.0;40.0;20.0;30.0;412;463
818.0;1.0;1.0;30.0;Т11Р;15.0;40.0;20.0;30.0;307;395
818.0;1.0;1.0;31.0;Т1Р;15.0;40.0;20.0;30.0;364;397
818.0;1.0;1.0;32.0;Т2Р;15.0;40.0;20.0;30.0;352;431
818.0;1.0;1.0;33.0;Т3Р;15.0;40.0;20.0;30.0;292;440
818.0;1.0;1.0;34.0;Т6Р;15.0;40.0;20.0;30.0;296;433
818.0;1.0;1.0;35.0;Т7Р;15.0;40.0;20.0;30.0;299;424
818.0;1.0;1.0;36.0;Т8Р;15.0;40.0;20.0;30.0;305;423
818.0;1.0;3.0;1.0;НГ1Р;0.0;34.0;0.05;27.0;334;430
818.0;1.0;3.0;2.0;НГ2Р;0.0;34.0;0.05;27.0;334;430
818.0;1.0;3.0;3.0;НГ3Р;0.0;34.0;0.05;27.0;178;457
818.0;1.0;3.0;4.0;НГ4Р;0.0;34.0;0.05;27.0;343;489
818.0;1.0;3.0;5.0;НГ5.1Р, НГ5.2Р;0.0;34.0;0.05;27.0;179;111
